,0,1
2336,dapetin,mendapati
2337,subhanalloh,subhanallah
2338,dlm,dalam
2339,slmt,selamat
2340,utk,untuk
2341,pke,pakai
2342,lbh,lebih
2343,keliatan,kelihatan
2344,mksh,terima kasih
2345,udah,sudah
2346,ksh,kasih
2347,saranin,sarankan
2348,dapetin,mendapati
2349,stiap,setiap
2350,lkuin,lakukan
2351,ttep,tetap
2352,langgenh,langgeng
2353,foto2nya,foto-fotonya
2354,tanggung2,tanggung-tanggung
2355,salluutt,salut
2356,pkai,pakai
2357,lht,lihat
2358,kmu,kamu
2359,skrg,sekarang
2360,pake,pakai
2361,sm,sama
2362,kmu,kamu
2363,pd,pada
2364,org2,orang-orang
2365,yg,yang
2366,smua,semua
